country_id,latitude,longitude,timezone
ATA,-77.3289585,24.3026581,0
SGS,-54.358074,-36.7807563,-2
HMD,-53.0762338,73.3748461,5
FLK,-51.7062211,-61.7755434,-3
ATF,-49.21165,69.3031279,5
NZL,-42.3615878,172.2755638,13
SHN,-37.120023,-12.2947431,0
ARG,-35.2122679,"-65.4563115,",-3
ZAF,-34.2954359,18.2273445,2
URY,-32.6004633,-58.0337148,-3
LSO,-29.6184754,27.1121823,2
NFK,-29.0342605,167.9503115,12
SWZ,-26.5608872,31.4626821,2
CHL,-25.5565283,-69.8261028,-3
AUS,-24.8815106,133.4838679,9.5
PCN,-24.3737101,-128.3358289,-8
PRY,-23.2327917,-58.3959961,-3
NAM,-22.1382895,17.1686078,2
NCL,-21.3278286,165.4847237,11
REU,-21.1137304,55.5371763,4
MUS,-20.203093,56.5541328,4
NIU,-19.0541608,-169.8712702,-11
ZWE,-18.7756229,20.1215273,2
MDG,-18.6082692,37.8300767,3
TON,-18.6076511,-176.8553978,13
MOZ,-18.4213701,26.7681723,2
PYF,-17.6434414,-149.4166633,-10
PNG,-17.6318551,-149.4839976,-10
VUT,-16.6586237,166.0305873,11
FJI,-16.5421279,177.2125418,12
COK,-15.5829785,-165.4437699,-10
ASM,-14.2886759,-170.712631,-11
WLF,-13.7738752,-177.7246291,12
WSM,-13.7516641,-172.3838167,13
MWI,-13.2089984,29.7972881,2
ZMB,-13.1011041,23.3462118,2
MYT,-12.8064018,44.8755839,3
CCK,-12.0158771,96.7326371,6.5
COM,-11.9030461,43.8807677,3
AGO,-11.202692,17.873886,1
CXR,-10.491357,105.6231271,7
PER,-10.4059597,-75.2924262,-5
SLB,-9.506267,160.2639304,11
TKL,-8.9636082,-172.4395224,13
TLS,-8.787685,124.6049593,9
TUV,-8.3033158,175.5308219,12
TZA,-6.3532651,30.4811507,3
IOT,-6.313449,70.7655456,6
SYC,-4.6733731,55.4583858,4
COD,-3.9833854,12.6725961,1
KIR,-3.6252109,173.4182919,12
BDI,-3.3711241,29.7733055,2
IDN,-2.3200885,99.4390449,8
RWA,-1.9974397,29.9172265,2
ECU,-1.343371,-92.9534555,-5
GAB,-0.9208903,6.9675956,1
COG,-0.6943045,14.8843105,1
NRU,-0.5237136,166.9318254,12
KEN,0.1540841,33.4090659,3
STP,0.2202667,6.5542528,0
GNQ,1.1431223,6.1927599,1
SGP,1.3526838,103.8634825,8
UGA,1.3671007,30.053238,3
SOM,2.8485811,45.1418912,3
MDV,3.1025266,68.7410983,5
CMR,3.8967644,11.5152719,1
GUF,4.0297699,-55.3580004,-3
MYS,4.1279184,105.118936,8
SUR,4.1979935,-56.1404938,-3
COL,4.5876741,-83.3962057,-5
GUY,4.930637,-63.4401022,-4
FSM,4.9496255,131.801044,11
LBR,6.4059642,-11.6972281,0
VEN,6.6366962,-71.123398,-4
CIV,7.4436879,-10.0536092,0
PLW,7.508022,134.5712977,9
SSD,7.5386251,29.7426028,2
LKA,7.8517303,78.4614696,5.3
GHA,7.8984762,-3.2751866,0
CRI,8.3515418,-87.0579464,-6
SLE,8.5953646,-11.9593789,0
TGO,8.645391,0.9458649,0
PAN,8.7805151,-80.3436317,-5
ETH,9.0370552,31.4446404,3
MHL,9.5606175,161.7298788,12
BEN,9.5890226,2.2976816,1
NGA,9.5904266,8.0716265,1
GIN,9.9254148,-13.7046706,0
TTO,10.6961976,-61.7735509,-4
UMI,10.9240197,-173.5022594,-12
GNB,11.6985941,-16.4106268,0
DJI,11.8133251,42.627373,3
CUW,12.2077307,-69.4948103,-4
GRD,12.2596604,-61.8704988,-4
PHL,12.282337,123.2245107,8
BFA,12.292701,-1.8129402,0
KHM,12.3140655,102.5045827,7
ABW,12.52111,-69.968338,-4
NIC,12.9214768,-85.0138478,-6
VCT,12.9714322,-61.5642803,-4
THA,13.0001247,96.9821097,7
GMB,13.415002,-16.4903006,0
GUM,13.4506574,144.5086198,10
SLV,13.7344801,-88.6016991,-6
LCA,13.9128128,-61.1106036,-4
SEN,14.3742699,-14.4660259,0
MTQ,14.6339221,-61.2939731,-4
BES,14.7163867,-70.7402926,-4
ERI,15.1428015,35.3271527,3
HND,15.2131702,-88.4539061,-6
YEM,15.3531879,43.5818909,3
TCD,15.4005968,14.2273997,1
DMA,15.4263291,-61.4979318,-4
GTM,15.7113808,-92.4794001,-6
VNM,15.7475013,101.4027201,7
CPV,16.0202004,-25.1125527,-1
GLP,16.1494466,-61.677248,-4
SDN,16.1813894,30.2609257,2
MSR,16.7485253,-62.2626428,-4
BLZ,16.9312024,-88.6931221,-6
NER,17.0862904,8.6010112,1
ATG,17.0952986,-61.8464176,-4
KNA,17.2495511,-62.8366871,-4
MNP,17.3024442,143.2419004,10
MLI,17.3693868,-13.0258604,0
BLM,17.9028533,-62.8286161,-4
SXM,18.0387045,-63.0693035,-4
VIR,18.065968,-65.3005285,-4
MAF,18.0703367,-63.1321908,-4
JAM,18.1185234,-77.8366056,-5
LAO,18.1569993,99.3618117,7
AIA,18.220554,-63.068615,-4
PRI,18.2830183,-66.603333,-4
VGB,18.521948,-64.7117791,-4
DOM,18.6565132,-72.3791231,-4
MMR,18.7805857,87.6337261,6.3
HTI,19.0318167,-74.2363522,-5
CYM,19.5042804,-81.698138,-5
IND,20.0887754,64.438483,5.5
OMN,20.5757333,56.1016668,4
MRT,20.9595106,-15.4477402,0
CUB,21.4548573,-84.066913,-4
TCA,21.5698771,-72.9381895,-4
MAC,22.161817,113.5001121,8
HKG,22.3526632,113.9876132,8
MEX,23.2934968,-111.6503146,-6
TWN,23.4696097,117.8347977,8
SAU,23.5257306,45.2652629,3
ARE,23.7284933,54.0797618,4
ESH,24.0087866,-17.5657367,0
BGD,24.1960041,90.2324467,6
BHS,24.3677193,-80.47337,-4
QAT,25.3183795,51.1934024,3
BHR,26.0431261,50.523059,3
LBY,26.0772892,8.3054648,2
EGY,26.618735,21.8455882,-2
DZA,27.7991189,-7.3628216,1
NPL,28.2171442,83.9667256,4.75
KWT,29.3129025,46.9752486,3
PAK,29.9299317,69.4491318,5
JOR,31.2603855,34.8786956,3
ISR,31.3867081,32.837891,2
